,AGE,SEX,FTPT,GOVTOF2,SC20MMJ,TTUSHR,GRSSWK,DISEA,ETHUKEUL,HIQUL22D
3353,65,1,1,9,3,55,582,1,1,4
3373,51,2,2,9,5,18,298,1,1,3
3374,55,1,1,9,5,38,1346,1,1,3
3386,30,2,1,9,9,44,508,1,1,1
3388,63,2,2,9,9,20,185,2,1,5
3400,66,2,1,9,8,30,138,2,1,6
3418,45,1,1,9,2,35,769,1,1,1
3419,23,1,1,9,9,40,442,1,1,4
3420,21,2,1,9,9,40,442,2,1,3
3421,19,1,1,9,3,40,456,2,1,4
3422,19,2,2,9,4,16,200,2,1,2
3439,36,2,2,9,5,16,219,2,1,1
3441,50,2,2,9,2,22,162,2,1,1
3442,55,1,1,9,2,40,865,2,1,1
3447,63,1,1,9,2,37,702,2,1,1
3455,59,1,1,9,1,37,692,1,1,3
3487,61,2,2,9,1,22,779,1,1,2
3488,60,1,1,9,1,50,1346,2,1,3
3495,67,1,1,9,5,48,923,1,1,3
3496,62,2,1,9,4,37,596,1,1,3
3497,55,2,1,9,4,45,702,2,1,4
3498,57,1,1,9,8,55,640,1,1,5
3509,52,2,2,9,3,18,327,2,1,1
3524,45,1,1,9,1,40,625,2,1,4
3527,39,2,1,9,1,40,500,1,1,1
3529,38,1,1,9,8,49,1896,2,1,3
3530,34,2,1,9,3,40,604,2,1,1
3541,54,1,1,9,5,40,538,2,1,4
3579,40,2,1,9,3,37,673,1,1,4
3600,56,2,1,9,8,38,538,1,1,4
3604,60,2,1,9,3,38,923,2,7,1
3621,51,1,1,9,1,40,1154,2,1,2
3639,39,1,1,9,3,38,969,2,1,1
3640,37,2,2,9,2,22,265,2,1,4
3652,55,2,1,9,3,38,808,2,1,3
3654,35,2,1,9,3,46,1615,2,1,3
3658,45,1,1,9,5,38,629,2,1,2
3659,17,1,2,9,5,10,80,2,1,4
3671,54,2,1,9,4,45,692,1,1,1
3699,62,2,2,9,7,22,277,2,1,1
3717,54,1,1,9,3,36,865,2,1,3
3718,50,2,1,9,3,37,766,1,1,1
3719,52,1,1,9,2,45,1538,2,1,1
3722,58,2,1,9,2,58,1135,2,1,3
3723,56,1,1,9,5,37,548,2,1,3
3725,38,2,1,9,3,38,481,2,1,5
3726,16,1,2,9,9,12,72,2,1,3
3734,56,2,1,9,3,45,1692,2,1,3
3742,41,1,1,9,1,97,1346,2,1,1
3743,40,2,2,9,1,24,1308,2,1,1
3757,65,2,1,9,2,32,826,1,1,2
3758,38,2,1,9,2,42,827,2,1,1
3764,33,2,1,9,2,37,1750,2,1,1
3798,36,1,1,9,3,50,1250,2,3,1
